name,ratings,location,price_lakhs,price_crores,area_sqft,bhk
nitesh hyde park,3.8,hulimavu,75.0,0.75,1100,2
venu regency,,"lottegolla halli, bellari road",85.0,0.85,1700,3
venu regency,,"lottegolla halli, bellari road",75.0,0.75,1410,2
nitesh camp david,,pulikeshi nagar,310.0,3.1,3000,3
shriram summit,,electronics city phase 1,125.0,1.25,1365,2
vbhc vaibhava,4.0,"byagadadhenahalli, near chandapura",23.0,0.23,500,1
sri sakhthi,,"kammasandra, electronic city",52.0,0.52,1270,3
mukunda nandanm,,kr puram,84.7,0.847,1210,2
hiranandani glen gate,3.7,hebbal,245.00000000000003,2.45,1810,3
hiranandani glen gate,3.7,hebbal,270.0,2.7,1665,3
sattva east crest,3.6,"bandapura, old madras road",155.0,1.55,1425,3
sobha windsor,4.3,whitefield,250.0,2.5,1817,3
brigade cornerstone utopia,3.8,varthur,152.0,1.52,1097,2
vishal nest,,jakkur,85.0,0.85,1348,2
nitesh hyde park,3.8,hulimavu,75.2,0.752,1021,2
vaishnavi terraces,4.0,"dollar scheme colony, btm layout",400.0,4.0,2535,3
gopalan atlantis,3.8,"dodsworth layout, whitefield",136.0,1.36,1245,2
provident sunworth,4.3,mysore road,48.0,0.48,883,2
provident sunworth,4.3,mysore road,58.0,0.58,1082,3
provident sunworth,4.3,mysore road,47.5,0.475,950,2
provident sunworth,4.3,mysore road,59.0,0.59,1082,3
provident sunworth,4.3,mysore road,57.5,0.575,1082,3
provident sunworth,4.3,mysore road,48.5,0.485,883,2
provident sunworth,4.3,mysore road,57.8,0.578,1100,3
srk park view,,"aecs layout - a block, hosur road",95.0,0.95,1920,3
kino at brigade orchards,,devanahalli,86.0,0.86,1027,2
salarpuria sattva cadenza,4.2,kudlu gate,260.0,2.6,1564,3
sjr luxuria,,"araka mico layout, bannerghatta road",210.0,2.1,2095,3
shobha garrison,,nagasandra,150.0,1.5,1700,3
sattva misty charm,4.0,kanakapura road,130.0,1.3,1254,3
prime nest apartment,,"akshayanagara west, akshaya nagar",65.0,0.65,1060,2
prime nest apartment,,"akshayanagara west, akshaya nagar",60.0,0.6,1060,2
shapoorji pallonji parkwest 2,,"binny pete, magadi road",240.0,2.4,1750,3
shapoorji pallonji parkwest,4.3,"binny pete, magadi road",78.0,0.78,665,1
shapoorji pallonji parkwest 2,,"binny pete, magadi road",160.0,1.6,1589,2
sobha rajvilas,,rajajinagar,350.0,3.5,2000,3
nitesh camp david,,pulikeshi nagar,315.0,3.15,2900,3
nitesh hyde park,3.8,hulimavu,54.0,0.54,688,1
nitesh hyde park,3.8,hulimavu,54.5,0.545,688,1
serene at brigade cornerstone utopia,,varthur,218.00000000000003,2.18,1645,3
hiranandani glen gate,3.7,hebbal,155.0,1.55,1245,2
prestige city avalon park,,sarjapur road,155.0,1.55,1347,2
prestige city avalon park,,sarjapur road,190.0,1.9,1536,3
l and t raintree boulevard,4.1,hebbal,310.0,3.1,2041,3
hiranandani glen classic,,hebbal,83.0,0.83,655,1
prestige park square,3.9,"basavanapura, bannerghatta road",192.0,1.92,1348,3
sowparnika columns,3.8,"soukya road, whitefield",114.99999999999999,1.15,1428,3
galaxy sri nandana galaxy,,"chambenahalli, sarjapur road",72.0,0.72,1005,2
galaxy sri nandana galaxy,,"chambenahalli, sarjapur road",83.0,0.83,1160,2
sri nandana galaxy,,sarjapur road,93.62,0.9362,1350,3
galaxy sri nandana galaxy,,"chambenahalli, sarjapur road",99.0,0.99,1405,3
provident park square,4.1,kanakapura road,139.0,1.39,1308,3
on request,,"sindhi colony, pulikeshi nagar",265.0,2.65,2000,3
juniper at brigade orchards,3.4,devanahalli,106.0,1.06,1230,2
prestige finsbury park,4.1,bagalur,99.0,0.99,955,2
habulus enclave 2,3.8,"kammasandra, electronic city",55.0,0.55,1395,3
sobha windsor,4.3,whitefield,240.0,2.4,1817,3
sobha windsor,4.3,whitefield,305.0,3.05,2207,4
sobha windsor,,whitefield,250.0,2.5,1811,3
awho sandeep vihar,,whitefield,135.0,1.35,1235,2
trifecta esplanade,,"kumbena agrahara, kr puram",134.0,1.34,1701,3
trillium apartments,,hosa road,94.0,0.94,1330,3
sri sai nandana royal,3.9,neeladri nagar,70.98,0.7098,1610,3
prestige lakeside habitat,4.3,"gunjur, near varthur",163.0,1.63,1195,2
sobha windsor,4.3,whitefield,210.0,2.1,1575,3
sri sai nandana royal,3.9,neeladri nagar,54.42,0.5442,1225,2
awho sandeep vihar,,whitefield,254.99999999999997,2.55,2067,4
sai serenity,,"ananth nagar phase 2, electronic city",47.56,0.4756,1044,2
godrej avenues,4.1,yelahanka,135.0,1.35,1390,3
nandagokula aparyment,,"srinivasa nagar, banashankari",118.0,1.18,1200,3
nandagokulam residency,,"srinivasa nagar, banashankari",118.0,1.18,1201,3
"narayana nagar 3rd block, kanakapura road, bangalore south",,"narayana nagar 3rd block, kanakapura road",168.0,1.68,2400,3
sobha dream gardens,3.7,thanisandra,114.99999999999999,1.15,1004,2
shriram sahaana,,yelahanka,122.0,1.22,1781,3
maithri shilpitha sunflower,4.0,"nallurhalli, whitefield",112.00000000000001,1.12,1134,2
prestige jindal city,4.1,tumkur road,126.0,1.26,1073,2
sai nilayam,,electronic city,50.0,0.5,1026,2
concorde auriga,,kr puram,145.0,1.45,1311,3
"padmanabhanagar, outer ring road south, bangalore south",,"padmanabhanagar, outer ring road south",240.0,2.4,2200,3
on request,,"c k gardens, cooke town",215.0,2.15,1950,3
windsor zenith,,"cox town, pulikeshi nagar",250.0,2.5,2000,3
provident park square,4.1,kanakapura road,105.0,1.05,1180,3
prestige finsbury park,4.1,bagalur,145.0,1.45,1431,3
radiance blossom,,mandur,300.0,3.0,2758,5
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",180.0,1.8,1581,3
snow drops residency,,"giri nagar, banashankari",165.0,1.65,1750,3
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",170.0,1.7,1581,3
prestige jindal city,4.1,tumkur road,213.0,2.13,1702,3
royal sri nandana royal,,"kiadb industrial area, jigani",54.42,0.5442,1225,2
provident sunworth,4.3,mysore road,57.6,0.5760000000000001,1200,3
on request,,frazer town,275.0,2.75,2200,3
on request,,frazer town,187.0,1.87,1700,3
eden park at the prestige city,,sarjapur,109.00000000000001,1.09,997,2
divine green leaf,,yelahanka,119.0,1.19,1580,3
mahaveer maple,,brookefield,128.0,1.28,1170,2
jade residency,,kammanahalli,117.0,1.17,1347,3
on request,,indira nagar,360.0,3.6,1800,3
prestige finsbury park,4.1,bagalur,126.0,1.26,1277,3
mahendra aarna,4.0,"kammasandra, electronic city",98.0,0.98,1075,2
sri sai nandana royal,,neeladri nagar,52.71,0.5271,1185,2
provident sunworth,4.3,mysore road,48.7,0.48700000000000004,900,2
on request,,cooke town,200.0,2.0,1910,3
bhartiya city nikoo homes 1,,thanisandra,97.0,0.97,934,2
mantri greens,4.4,malleshwaram,330.0,3.3,2050,3
prestige finsbury park,4.1,bagalur,149.0,1.49,1431,3
purva park,,"jeevanhalli, pulikeshi nagar",75.0,0.75,1075,2
prestige waterford,3.9,whitefield,320.0,3.2,1775,3
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",88.0,0.88,720,2
ds max splendor nest,3.3,"jalahalli, bel road",35.0,0.35,900,2
habulus harmony,3.5,"kammasandra, electronic city",31.0,0.31,660,1
provident sunworth,4.3,mysore road,46.0,0.46,883,2
alpine fiesta,,hoodi,100.0,1.0,1025,2
provident sunworth,4.3,mysore road,56.0,0.56,1082,3
provident sunworth,4.3,mysore road,47.0,0.47,883,2
bhartiya city nikoo homes phase 2,4.4,"chokkanahalli, near thanisandra",159.0,1.59,1315,3
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",160.0,1.6,1543,3
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",98.0,0.98,988,2
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",60.0,0.6,584,1
sathish,,"vemanna layout, bel road",99.0,0.99,1500,3
sathish,,"vemanna layout, bel road",90.0,0.9,1500,3
venu regency,,"lottegolla halli, bellari road",85.0,0.85,1650,3
meridian park at the prestige city,3.6,sarjapur road,175.0,1.75,1387,3
ganesh,,9th block jayanagar,224.00000000000003,2.24,700,4
vr royal view,,hoskote,135.0,1.35,1500,3
k raheja residency,4.2,3rd block koramangala,225.0,2.25,1200,2
provident park square,4.1,kanakapura road,136.0,1.36,1400,3
prime nest apartment,,"akshayanagara east, akshaya nagar",65.0,0.65,1060,2
sobha chrysanthemum,,thanisandra,160.0,1.6,1790,3
nitesh hyde park,3.8,hulimavu,75.0,0.75,969,2
nitesh hyde park,3.8,hulimavu,74.5,0.745,1021,2
ds max stone hill,3.8,jp nagar,82.0,0.82,1450,3
gopalan atlantis,3.8,"dodsworth layout, whitefield",198.0,1.98,1745,3
on request,,richmond town,220.00000000000003,2.2,1800,3
dlf westend heights,4.2,akshaya nagar,165.0,1.65,1570,3
on request,,cooke town,150.0,1.5,1325,3
century indus,3.9,rajarajeshwari nagar,102.0,1.02,1210,3
trifecta esplanade,,"kumbena agrahara, kr puram",89.0,0.89,1175,2
prestige finsbury park,4.1,bagalur,65.0,0.65,735,1
nandi serenity,,rajarajeshwari nagar,64.0,0.64,1100,2
sobha arena,4.0,"talaghattapura, kanakapura road",180.0,1.8,1294,2
jp nagar bangalore south,,3rd phase jp nagar,360.0,3.6,1200,3
brigade cornerstone utopia,3.8,varthur,155.0,1.55,1097,2
eden park at the prestige city,,sarjapur,69.0,0.69,442,1
prestige city avalon park,,sarjapur road,195.0,1.95,1536,3
snr verity,,sarjapur,49.0,0.49,1045,2
bhartiya city nikoo homes 1,,thanisandra,187.0,1.87,1917,3
shriram summit,,electronics city phase 1,163.0,1.63,1595,3
salarpuria serenity,,sector 7 hsr layout,250.0,2.5,1533,3
